title,Год выпуска,Поколение,Пробег,История пробега,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Оценка,пробег_история,ДТП,другое_история,тех_история,sold,Метро,ПТС
"Skoda Octavia 1.6 AT, 2018, 233 000 км, с пробегом, цена 1 065 000 руб. - Автомобили в Москве",2018,III рестайлинг (2017—2020),233 000 км,4 записи в отчёте Автотеки,2,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Active,Лифтбек,Белый,Левый,XW8A*************,Не интересует,1 065 000 ₽ — цена выше Авито Оценки,4 записи с 2020 года,,2 владельца по ПТС,,,Кузьминки:до 5 мин.;Текстильщики:16–20 мин.;Волжская:21–30 мин.,Оригинал
"Kia Sportage 2.0 AT, 2018, 78 352 км, с пробегом, цена 1 065 000 руб. - Автомобили в Москве",2018,IV (2015—2018),78 352 км,2 записи в отчёте Автотеки,1,Не битый,2.0 CRDi AT (184 л.с.),2 л,Дизель,Автомат,Передний,Базовая,Внедорожник 5-дверный,Бежевый,Левый,KNAP*************,0,,2 записи с 2023 года,ДТП не найдены,,,2 раза продавался на Авито,Беломорская:11–15 мин.;Ховрино:11–15 мин.;Речной вокзал:21–30 мин.,Оригинал
"Volkswagen Touareg 3.0 AT, 2012, 119 000 км, с пробегом, цена 1 890 000 руб. - Автомобили в Москве",2012,II (2010—2014),119 000 км,13 записей в отчёте Автотеки,4+,Не битый,3.0 TDI 4Motion AT (204 л.с.),3 л,Дизель,Автомат,Полный,Exclusive,Внедорожник 5-дверный,Белый,Левый,XW8Z*************,Не интересует,1 890 000 ₽ — цена ниже Авито Оценки,13 записей с 2016 года,ДТП не найдены,4 владельца по ПТС,5 записей с описанием работ,1 раз продавался на Авито,Говорово:6–10 мин.;Озёрная:от 31 мин.;Солнцево:от 31 мин.,Дубликат
"BMW 5 серия 2.0 AT, 2018, 60 000 км, с пробегом, цена 3 350 000 руб. - Автомобили в Москве",2018,G30/G31 (2016—2020),60 000 км,6 записей в отчёте Автотеки,3,Не битый,520d 2.0 xDrive Steptronic (190 л.с.),2 л,Дизель,Автомат,Полный,,Седан,Чёрный,Левый,X4XJ*************,Не интересует,3 350 000 ₽ — соответствует оценке Авито,6 записей с 2020 года,ДТП не найдены,3 владельца по ПТС,2 записи с описанием работ,2 раза продавался на Авито,Бабушкинская:11–15 мин.;Свиблово:21–30 мин.;Медведково:от 31 мин.,Оригинал
"Mercedes-Benz C-класс 1.6 AT, 2013, 223 653 км, с пробегом, цена 1 450 000 руб. - Автомобили в Москве",2013,W204/S204/С204 рестайлинг (2011—2015),223 653 км,18 записей в отчёте Автотеки,4+,Не битый,C 180 1.6 7G-Tronic (156 л.с.),1.6 л,Бензин,Автомат,Задний,Avantgarde Особая серия,Седан,Белый,Левый,WDD2*************,Не интересует,1 450 000 ₽ — цена выше Авито Оценки,18 записей с 2013 года,,10 владельцев по ПТС,5 записей с описанием работ,5 раз продавался на Авито,Выхино:6–10 мин.;Юго-Восточная:21–30 мин.;Рязанский проспект:от 31 мин.,Дубликат
"Volkswagen Multivan 2.5 AT, 2008, 321 500 км, с пробегом, цена 1 500 000 руб. - Автомобили в Москве",2008,T5 (2003—2009),321 500 км,19 записей в отчёте Автотеки,4+,Не битый,2.5 TDI AT (174 л.с.),2.5 л,Дизель,Автомат,Передний,Базовая,Минивэн,Чёрный,Левый,WV2Z*************,Не интересует,1 500 000 ₽ — соответствует оценке Авито,19 записей с 2015 года,,5 владельцев по ПТС,14 записей с описанием работ,1 раз продавался на Авито,Люблино:от 31 мин.;Котельники:от 31 мин.;Братиславская:от 31 мин.,
"Volkswagen Polo 1.6 AT, 2013, 98 899 км, с пробегом, цена 600 000 руб. - Автомобили в Москве",2013,V (2009—2015),98 899 км,8 записей в отчёте Автотеки,2,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Базовая,Седан,Белый,Левый,XW8Z*************,Не интересует,600 000 ₽ — соответствует оценке Авито,8 записей с 2014 года,,,,1 раз продавался на Авито,Дубровка:до 5 мин.;Волгоградский проспект:11–15 мин.;Угрешская:16–20 мин.,Оригинал
"Kia Rio 1.6 AT, 2012, 183 721 км, с пробегом, цена 635 000 руб. - Автомобили в Москве",2012,III (2011—2015),183 721 км,2 записи в отчёте Автотеки,3,Не битый,1.6 AT (123 л.с.),1.6 л,Бензин,Автомат,Передний,Базовая,Седан,Серебряный,Левый,Z94C*************,Не интересует,635 000 ₽ — цена ниже Авито Оценки,2 записи с 2012 года,ДТП не найдены,3 владельца по ПТС,1 запись с описанием работ,,Выставочная:до 5 мин.;Деловой центр:до 5 мин.;Международная:6–10 мин.,Оригинал
"Kia Cerato 1.6 MT, 2006, 221 000 км, с пробегом, цена 325 000 руб. - Автомобили в Москве",2006,I (2003—2007),221 000 км,8 записей в отчёте Автотеки,3,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,LX,Седан,Серый,Левый,KNEF*************,Не интересует,325 000 ₽ — соответствует оценке Авито,8 записей с 2017 года,,3 владельца по ПТС,,2 раза продавался на Авито,Воробьёвы горы:16–20 мин.;Академическая:21–30 мин.;Площадь Гагарина:21–30 мин.,Оригинал
"Hyundai i40 1.7 AT, 2015, 82 000 км, с пробегом, цена 970 000 руб. - Автомобили в Москве",2015,I (2011—2015),82 000 км,2 записи в отчёте Автотеки,1,Не битый,1.7 CRDI AT (136 л.с.),1.7 л,Дизель,Автомат,Передний,Comfort,Седан,Белый,Левый,XWEL*************,Не интересует,,2 записи с 2018 года,,1 владелец по ПТС,1 запись с описанием работ,,Лесопарковая:до 5 мин.;Аннино:16–20 мин.;Улица Старокачаловская:16–20 мин.,Оригинал
"Ford Mondeo 2.3 AT, 2008, 200 000 км, с пробегом, цена 720 000 руб. - Автомобили в Москве",2008,IV (2006—2010),200 000 км,14 записей в отчёте Автотеки,4+,Не битый,2.3 AT (161 л.с.),2.3 л,Бензин,Автомат,Передний,Ghia,Седан,Чёрный,Левый,WF0D*************,Возможен,720 000 ₽ — цена выше Авито Оценки,14 записей с 2012 года,,7 владельцев по ПТС,4 записи с описанием работ,3 раза продавался на Авито,Ховрино:от 31 мин.;Беломорская:от 31 мин.;Планерная:от 31 мин.,Дубликат
"BMW 5 серия 2.5 AT, 2005, 300 000 км, с пробегом, цена 965 000 руб. - Автомобили в Москве",2005,E60/E61 (2002—2007),300 000 км,12 записей в отчёте Автотеки,1,Не битый,525d 2.5 AT (177 л.с.),2.5 л,Дизель,Автомат,Задний,Базовая,Седан,Чёрный,Левый,WBAN*************,Не интересует,965 000 ₽ — цена выше Авито Оценки,12 записей с 2018 года,,,,7 раз продавался на Авито,Беломорская:до 5 мин.;Речной вокзал:16–20 мин.;Ховрино:21–30 мин.,Дубликат
"Mitsubishi Lancer 2.0 CVT, 2008, 169 000 км, с пробегом, цена 580 000 руб. - Автомобили в Москве",2008,X (2007—2010),169 000 км,5 записей в отчёте Автотеки,4+,Не битый,2.0 CVT (150 л.с.),2 л,Бензин,Вариатор,Передний,Invite+,Седан,Чёрный,Левый,JMBS*************,Не интересует,580 000 ₽ — цена ниже Авито Оценки,5 записей с 2016 года,,6 владельцев по ПТС,,,Улица Дмитриевского:6–10 мин.;Лухмановская:16–20 мин.;Косино:от 31 мин.,Дубликат
"Suzuki Grand Vitara 2.4 AT, 2014, 129 000 км, с пробегом, цена 1 126 000 руб. - Автомобили в Москве",2014,II рестайлинг 2 (2012—2016),129 000 км,11 записей в отчёте Автотеки,1,Не битый,2.4 4WD AT (168 л.с.),2.4 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,JSAJ*************,Возможен,,11 записей с 2014 года,,1 владелец по ПТС,14 записей с описанием работ,,Рассказовка:11–15 мин.;Новопеределкино:11–15 мин.;Боровское шоссе:от 31 мин.,
"BMW 5 серия 3.0 AT, 2018, 47 965 км, с пробегом, цена 4 545 000 руб. - Автомобили в Москве",2018,G30/G31 (2016—2020),47 965 км,,1,Не битый,540i 3.0 Steptronic (340 л.с.),3 л,Бензин,Автомат,Задний,Base,Седан,Чёрный,Левый,WBAJ*************,Возможен,,,,,,,Царицыно:от 31 мин.;Пражская:от 31 мин.;Кантемировская:от 31 мин.,Электронный
"Ford Focus 1.6 MT, 2006, 230 000 км, с пробегом, цена 260 000 руб. - Автомобили в Москве",,,,,,,,,,,,,,,,,,,,,,,,,
"ГАЗ ГАЗель 3302 2.9 MT, 2014, 284 500 км, с пробегом, цена 1 150 000 руб. - Автомобили в Москве",2014,II (2010—2024),284 500 км,8 записей в отчёте Автотеки,3,Не битый,2.9 MT (107 л.с.),2.9 л,Бензин,Механика,Задний,Базовая,Фургон,Белый,Левый,X961*************,Не интересует,1 150 000 ₽ — цена выше Авито Оценки,8 записей с 2017 года,,,,3 раза продавался на Авито,Третьяковская:до 5 мин.;Новокузнецкая:до 5 мин.;Полянка:11–15 мин.,Оригинал
"Mazda 3 1.6 MT, 2007, 248 000 км, с пробегом, цена 300 000 руб. - Автомобили в Москве",2007,BK рестайлинг (2006—2009),248 000 км,12 записей в отчёте Автотеки,4+,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серый,Левый,JMZB*************,Не интересует,300 000 ₽ — цена ниже Авито Оценки,12 записей с 2013 года,ДТП не найдены,4 владельца по ПТС,2 записи с описанием работ,4 раза продавался на Авито,Митино:до 5 мин.;Пятницкое шоссе:11–15 мин.;Волоколамская:21–30 мин.,Дубликат
"Kia Sportage 2.0 MT, 2006, 165 000 км, с пробегом, цена 425 000 руб. - Автомобили в Москве",2006,I (1993—2006),165 000 км,6 записей в отчёте Автотеки,1,Не битый,2.0 4WD MT (128 л.с.),2 л,Бензин,Механика,Полный,Базовая,Внедорожник 5-дверный,Серебряный,Левый,X4XJ*************,Не интересует,425 000 ₽ — соответствует оценке Авито,6 записей с 2014 года,ДТП не найдены,1 владелец по ПТС,,2 раза продавался на Авито,Лианозово:16–20 мин.;Физтех:16–20 мин.;Алтуфьево:от 31 мин.,Оригинал
"Hyundai Santa Fe 2.2 AT, 2007, 145 000 км, с пробегом, цена 1 130 000 руб. - Автомобили в Москве",2007,II (2005—2010),145 000 км,4 записи в отчёте Автотеки,2,Не битый,2.2 VGT 4WD AT (150 л.с.),2.2 л,Дизель,Автомат,Полный,GLS,Внедорожник 5-дверный,Чёрный,Левый,KMHS*************,Не интересует,1 130 000 ₽ — соответствует оценке Авито,4 записи с 2014 года,ДТП не найдены,2 владельца по ПТС,2 записи с описанием работ,,Беговая:до 5 мин.;Полежаевская:16–20 мин.;Улица 1905 года:21–30 мин.,Оригинал
"Kia Ceed 1.6 AMT, 2015, 81 000 км, с пробегом, цена 1 099 000 руб. - Автомобили в Москве",2015,JD рестайлинг (2015—2018),81 000 км,14 записей в отчёте Автотеки,1,Не битый,1.6 AMT (135 л.с.),1.6 л,Бензин,Робот,Передний,Premium,Хетчбек 5-дверный,Коричневый,Левый,XWEH*************,0,1 099 000 ₽ — цена ниже Авито Оценки,14 записей с 2016 года,,,3 записи с описанием работ,,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,
"BMW X2 2.0 AT, 2018, 70 000 км, с пробегом, цена 2 300 000 руб. - Автомобили в Москве",2018,F39 (2017—2023),70 000 км,3 записи в отчёте Автотеки,1,Не битый,28i 2.0 sDrive AT (231 л.с.),2 л,Бензин,Автомат,Передний,Base,Внедорожник 5-дверный,Белый,Левый,WBXY*************,Не интересует,,3 записи с 2022 года,ДТП не найдены,,,1 раз продавался на Авито,Юго-Восточная:11–15 мин.;Косино:21–30 мин.;Лермонтовский проспект:21–30 мин.,Электронный
"Volkswagen Tiguan 2.0 AT, 2016, 116 000 км, с пробегом, цена 1 295 000 руб. - Автомобили в Москве",2016,I рестайлинг (2011—2019),116 000 км,12 записей в отчёте Автотеки,1,Не битый,2.0 TSI 4Motion AT (180 л.с.),2 л,Бензин,Автомат,Полный,Trend&Fun,Внедорожник 5-дверный,Бежевый,Левый,XW8Z*************,Возможен,1 295 000 ₽ — цена ниже Авито Оценки,12 записей с 2017 года,,1 владелец по ПТС,8 записей с описанием работ,1 раз продавался на Авито,Царицыно:от 31 мин.;Пражская:от 31 мин.;Кантемировская:от 31 мин.,
"Kia Sorento 2.5 AT, 2021, 15 500 км, с пробегом, цена 3 099 999 руб. - Автомобили в Москве",2021,IV (2020—2024),15 500 км,3 записи в отчёте Автотеки,1,Не битый,2.5 T-GDi 4WD DCT (281 л.с.),2.5 л,Бензин,Робот,Полный,Premium,Внедорожник 5-дверный,Серебряный,Левый,5XYR*************,Не интересует,,3 записи с 2023 года,ДТП не найдены,,,,,Электронный
"Ford Focus 1.6 MT, 2009, 247 000 км, с пробегом, цена 669 000 руб. - Автомобили в Москве",2009,II рестайлинг (2007—2011),247 000 км,17 записей в отчёте Автотеки,3,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Titanium,Хетчбек 5-дверный,Серый,Левый,X9FP*************,Не интересует,669 000 ₽ — цена выше Авито Оценки,17 записей с 2012 года,,3 владельца по ПТС,11 записей с описанием работ,2 раза продавался на Авито,Южная:6–10 мин.;Пражская:11–15 мин.;Чертановская:от 31 мин.,Оригинал
"Ford Focus 1.6 AMT, 2015, 96 000 км, с пробегом, цена 749 000 руб. - Автомобили в Москве",2015,III рестайлинг (2014—2019),96 000 км,6 записей в отчёте Автотеки,2,Не битый,1.6 PowerShift (105 л.с.),1.6 л,Бензин,Робот,Передний,Trend,Седан,Серый,Левый,Z6F4*************,Возможен,749 000 ₽ — цена ниже Авито Оценки,6 записей с 2018 года,,2 владельца по ПТС,2 записи с описанием работ,2 раза продавался на Авито,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,
"Toyota Camry 2.5 AT, 2016, 185 800 км, с пробегом, цена 2 050 000 руб. - Автомобили в Москве",,,,,,,,,,,,,,,,,,,,,,,,,
"Mazda CX-5 2.0 AT, 2019, 63 000 км, с пробегом, цена 2 690 000 руб. - Автомобили в Москве",2019,II (2017—2022),63 000 км,9 записей в отчёте Автотеки,1,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Active,Внедорожник 5-дверный,Чёрный,Левый,RUMK*************,Не интересует,2 690 000 ₽ — цена ниже Авито Оценки,9 записей с 2020 года,,1 владелец по ПТС,10 записей с описанием работ,,Некрасовка:11–15 мин.;Лухмановская:от 31 мин.,Оригинал
"Kia Rio 1.6 MT, 2013, 23 848 км, с пробегом, цена 900 000 руб. - Автомобили в Москве",2013,III (2011—2015),23 848 км,7 записей в отчёте Автотеки,1,Не битый,1.6 MT (123 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Хетчбек 5-дверный,Красный,Левый,Z94C*************,Не интересует,,7 записей с 2014 года,ДТП не найдены,,1 запись с описанием работ,,Бабушкинская:до 5 мин.;Медведково:21–30 мин.;Свиблово:21–30 мин.,Оригинал
"Ford Focus 2.0 AT, 2011, 197 000 км, с пробегом, цена 759 000 руб. - Автомобили в Москве",2011,II рестайлинг (2007—2011),197 000 км,13 записей в отчёте Автотеки,2,Не битый,2.0 AT (145 л.с.),2 л,Бензин,Автомат,Передний,Titanium,Универсал,Серебряный,Левый,X9FS*************,Не интересует,759 000 ₽ — цена выше Авито Оценки,13 записей с 2011 года,ДТП не найдены,,6 записей с описанием работ,,Щёлковская:до 5 мин.;Первомайская:16–20 мин.;Измайловская:от 31 мин.,Оригинал
"BMW M4 3.0 AT, 2020, 80 000 км, с пробегом, цена 8 190 000 руб. - Автомобили в Москве",2020,G82 (2020—2024),80 000 км,,1,Не битый,3.0 AT (510 л.с.),3 л,Бензин,Автомат,Задний,Competition,Купе,Красный,Левый,WBS3*************,Не интересует,,,,,,,Новаторская:6–10 мин.;Проспект Вернадского:16–20 мин.;Калужская:21–30 мин.,Электронный
"Nissan Qashqai 1.6 MT, 2010, 180 000 км, с пробегом, цена 1 015 000 руб. - Автомобили в Москве",2010,I рестайлинг (2010—2013),180 000 км,5 записей в отчёте Автотеки,1,Не битый,1.6 MT (114 л.с.),1.6 л,Бензин,Механика,Передний,,Внедорожник 5-дверный,Серый,Левый,SJNF*************,Возможен,1 015 000 ₽ — соответствует оценке Авито,5 записей с 2016 года,ДТП не найдены,,,1 раз продавался на Авито,Домодедовская:11–15 мин.;Зябликово:21–30 мин.;Красногвардейская:21–30 мин.,Оригинал
"Hyundai Santa Fe 2.2 AT, 2020, 69 448 км, с пробегом, цена 2 849 000 руб. - Автомобили в Москве",2020,IV (2018—2021),69 448 км,Проверить в Автотеке,1,Не битый,2.2 CRDi 4WD AT (200 л.с.),2.2 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,XWES*************,Возможен,2 849 000 ₽ — цена ниже Авито Оценки,,ДТП не найдены,1 владелец по ПТС,,,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,
"Renault Grand Scenic 1.5 AMT, 2018, 99 000 км, с пробегом, цена 1 720 000 руб. - Автомобили в Москве",2018,IV (2016—2024),99 000 км,9 записей в отчёте Автотеки,2,Не битый,1.5 dCi AMT (110 л.с.),1.5 л,Дизель,Робот,Передний,Базовая,Минивэн,Синий,Левый,VF1R*************,Возможен,1 720 000 ₽ — соответствует оценке Авито,9 записей с 2021 года,ДТП не найдены,2 владельца по ПТС,,2 раза продавался на Авито,Щукинская:от 31 мин.;Октябрьское поле:от 31 мин.;Народное Ополчение:от 31 мин.,Оригинал
"BMW X5 4.8 AT, 2008, 190 000 км, с пробегом, цена 2 050 000 руб. - Автомобили в Москве",2008,E70 (2006—2010),190 000 км,13 записей в отчёте Автотеки,4+,Не битый,48i 4.8 AT (355 л.с.),4.8 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,WBAF*************,Не интересует,2 050 000 ₽ — цена выше Авито Оценки,13 записей с 2011 года,,5 владельцев по ПТС,1 запись с описанием работ,4 раза продавался на Авито,Кунцевская:21–30 мин.;Давыдково:21–30 мин.;Молодёжная:от 31 мин.,Дубликат
"Volkswagen Tiguan 2.0 AMT, 2017, 212 740 км, с пробегом, цена 2 750 000 руб. - Автомобили в Москве",2017,II (2016—2020),212 740 км,16 записей в отчёте Автотеки,4+,Не битый,2.0 TSI 4MOTION DSG (180 л.с.),2 л,Бензин,Робот,Полный,Highline,Внедорожник 5-дверный,Белый,Левый,XW8Z*************,Не интересует,2 750 000 ₽ — цена выше Авито Оценки,16 записей с 2017 года,ДТП не найдены,5 владельцев по ПТС,6 записей с описанием работ,2 раза продавался на Авито,Фонвизинская:6–10 мин.;Тимирязевская:6–10 мин.;Бутырская:16–20 мин.,Оригинал
"Suzuki Swift 1.3 MT, 2005, 242 000 км, с пробегом, цена 405 000 руб. - Автомобили в Москве",2005,III (2004—2011),242 000 км,10 записей в отчёте Автотеки,4+,Не битый,1.3 MT (92 л.с.),1.3 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Бордовый,Левый,TSMM*************,Не интересует,405 000 ₽ — цена выше Авито Оценки,10 записей с 2017 года,ДТП не найдены,6 владельцев по ПТС,1 запись с описанием работ,2 раза продавался на Авито,Щёлковская:6–10 мин.;Первомайская:21–30 мин.;Измайловская:от 31 мин.,Оригинал
"Renault Duster 2.0 AT, 2017, 85 000 км, с пробегом, цена 1 099 000 руб. - Автомобили в Москве",2017,I рестайлинг (2015—2021),85 000 км,8 записей в отчёте Автотеки,1,Не битый,2.0 4WD AT (143 л.с.),2 л,Бензин,Автомат,Полный,Privilege,Внедорожник 5-дверный,Зелёный,Левый,X7LH*************,0,1 099 000 ₽ — цена ниже Авито Оценки,8 записей с 2023 года,ДТП не найдены,1 владелец по ПТС,,4 раза продавался на Авито,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,
"Kia Rio 1.6 AT, 2013, 159 800 км, с пробегом, цена 790 000 руб. - Автомобили в Москве",2013,III (2011—2015),159 800 км,5 записей в отчёте Автотеки,1,Не битый,1.6 AT (123 л.с.),1.6 л,Бензин,Автомат,Передний,Luxe,Седан,Бежевый,Левый,Z94C*************,Возможен,790 000 ₽ — цена ниже Авито Оценки,5 записей с 2016 года,,1 владелец по ПТС,,1 раз продавался на Авито,Рассказовка:11–15 мин.;Новопеределкино:11–15 мин.;Боровское шоссе:от 31 мин.,
"Kia Ceed 1.6 MT, 2014, 397 000 км, с пробегом, цена 690 000 руб. - Автомобили в Москве",2014,JD (2012—2015),397 000 км,16 записей в отчёте Автотеки,3,Не битый,1.6 MT (129 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Красный,Левый,XWEH*************,Не интересует,690 000 ₽ — цена выше Авито Оценки,16 записей с 2015 года,,,6 записей с описанием работ,3 раза продавался на Авито,Нахимовский проспект:до 5 мин.;Каховская:11–15 мин.;Севастопольская:11–15 мин.,Оригинал
"Mazda 3 1.6 AT, 2014, 149 000 км, с пробегом, цена 1 275 000 руб. - Автомобили в Москве",2014,BM (2013—2016),149 000 км,29 записей в отчёте Автотеки,2,Не битый,1.6 AT (104 л.с.),1.6 л,Бензин,Автомат,Передний,Active,Седан,Синий,Левый,JMZB*************,Не интересует,1 275 000 ₽ — цена выше Авито Оценки,29 записей с 2014 года,ДТП не найдены,2 владельца по ПТС,21 запись с описанием работ,4 раза продавался на Авито,Варшавская:6–10 мин.;Нахимовский проспект:21–30 мин.;Каширская:21–30 мин.,Оригинал
"Suzuki Grand Vitara 2.5 AT, 2001, 186 536 км, с пробегом, цена 598 000 руб. - Автомобили в Москве",2001,I (1997—2001),186 536 км,5 записей в отчёте Автотеки,2,Не битый,2.5 4WD AT (155 л.с.),2.5 л,Бензин,Автомат,Полный,LTD JLX,Внедорожник 5-дверный,Синий,Левый,JS3T*************,Не интересует,598 000 ₽ — цена выше Авито Оценки,5 записей с 2019 года,ДТП не найдены,2 владельца по ПТС,,2 раза продавался на Авито,Кунцевская:до 5 мин.;Пионерская:16–20 мин.;Славянский бульвар:21–30 мин.,Оригинал
"Hyundai Solaris 1.6 AT, 2019, 378 792 км, с пробегом, цена 1 040 000 руб. - Автомобили в Москве",2019,II (2017—2020),378 792 км,10 записей в отчёте Автотеки,3,Не битый,1.6 AT (123 л.с.),1.6 л,Бензин,Автомат,Передний,Active Plus,Седан,Белый,Левый,Z94K*************,Не интересует,,10 записей с 2019 года,,,,1 раз продавался на Авито,Речной вокзал:16–20 мин.;Беломорская:21–30 мин.;Водный стадион:21–30 мин.,Оригинал
"Ford Mondeo 2.0 AT, 2006, 285 000 км, с пробегом, цена 490 000 руб. - Автомобили в Москве",2006,III рестайлинг (2003—2007),285 000 км,14 записей в отчёте Автотеки,2,Не битый,2.0 AT (145 л.с.),2 л,Бензин,Автомат,Передний,Ghia,Седан,Чёрный,Левый,WF04*************,Не интересует,490 000 ₽ — цена выше Авито Оценки,14 записей с 2013 года,,,1 запись с описанием работ,4 раза продавался на Авито,Улица академика Янгеля:6–10 мин.;Аннино:11–15 мин.;Лесопарковая:21–30 мин.,Дубликат
"Peugeot Partner 1.4 MT, 2008, 220 300 км, с пробегом, цена 375 000 руб. - Автомобили в Москве",2008,I рестайлинг (2002—2012),220 300 км,8 записей в отчёте Автотеки,2,Не битый,1.4 MT (75 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Фургон,Синий,Левый,VF3G*************,Не интересует,375 000 ₽ — цена выше Авито Оценки,8 записей с 2012 года,ДТП не найдены,,,1 раз продавался на Авито,Раменки:21–30 мин.;Аминьевская:21–30 мин.;Минская:21–30 мин.,Оригинал
"ВАЗ (LADA) 21099 1.5 MT, 2002, 192 035 км, с пробегом, цена 215 000 руб. - Автомобили в Москве",2002,I (1990—2011),192 035 км,6 записей в отчёте Автотеки,3,Не битый,1.5 MT (78 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Седан,Серый,Левый,XTA2*************,Не интересует,215 000 ₽ — цена выше Авито Оценки,6 записей с 2013 года,ДТП не найдены,,,1 раз продавался на Авито,Пражская:11–15 мин.;Южная:16–20 мин.;Улица академика Янгеля:от 31 мин.,Оригинал
"Toyota Camry 2.4 AT, 2006, 187 300 км, с пробегом, цена 1 100 000 руб. - Автомобили в Москве",2006,XV40 (2006—2009),187 300 км,5 записей в отчёте Автотеки,2,Не битый,2.4 AT (167 л.с.),2.4 л,Бензин,Автомат,Передний,Комфорт Плюс,Седан,Белый,Левый,JTNB*************,Не интересует,1 100 000 ₽ — цена выше Авито Оценки,5 записей с 2013 года,ДТП не найдены,2 владельца по ПТС,,,Пыхтино:11–15 мин.;Рассказовка:21–30 мин.;Аэропорт Внуково:от 31 мин.,Оригинал
"Volkswagen Jetta 2.0 AMT, 2019, 87 000 км, с пробегом, цена 2 300 000 руб. - Автомобили в Москве",2019,VII (2018—2021),87 000 км,3 записи в отчёте Автотеки,1,Не битый,2.0 TSI DSG (230 л.с.),2 л,Бензин,Робот,Передний,GLI,Седан,Чёрный,Левый,3VW6*************,Не интересует,2 300 000 ₽ — соответствует оценке Авито,3 записи с 2022 года,ДТП не найдены,1 владелец по ПТС,,,Шипиловская:до 5 мин.;Красногвардейская:6–10 мин.;Зябликово:11–15 мин.,Оригинал
"Volkswagen Multivan 2.0 AMT, 2010, 235 000 км, с пробегом, цена 2 380 000 руб. - Автомобили в Москве",2010,T5 рестайлинг (2009—2015),235 000 км,8 записей в отчёте Автотеки,2,Не битый,2.0 TDI 4Motion DSG (180 л.с.),2 л,Дизель,Робот,Полный,Comfortline,Минивэн,Чёрный,Левый,WV2Z*************,Не интересует,2 380 000 ₽ — цена выше Авито Оценки,8 записей с 2015 года,,2 владельца по ПТС,1 запись с описанием работ,2 раза продавался на Авито,Озёрная:6–10 мин.;Аминьевская:от 31 мин.;Мичуринский проспект:от 31 мин.,Оригинал
"Skoda Rapid 1.4 AMT, 2020, 68 214 км, с пробегом, цена 1 630 000 руб. - Автомобили в Москве",2020,II (2019—2024),68 214 км,2 записи в отчёте Автотеки,1,Не битый,1.4 TSI DSG (125 л.с.),1.4 л,Бензин,Робот,Передний,Ambition,Лифтбек,Белый,Левый,XW8A*************,Не интересует,1 630 000 ₽ — соответствует оценке Авито,2 записи с 2023 года,,1 владелец по ПТС,1 запись с описанием работ,,Жулебино:до 5 мин.;Котельники:11–15 мин.;Лермонтовский проспект:21–30 мин.,Электронный
"Mercedes-Benz S-класс 4.7 AT, 2016, битый, 71 000 км, с пробегом, цена 4 680 000 руб. - Автомобили в Москве",2016,W222/C217/A217 (2013—2017),71 000 км,18 записей в отчёте Автотеки,2,Битый,S 500 4.7 4MATIC 7G-Tronic (455 л.с.),4.7 л,Бензин,Автомат,Полный,Base,Купе,Чёрный,Левый,WDD2*************,Не интересует,,18 записей с 2017 года,,,17 записей с описанием работ,2 раза продавался на Авито,Угрешская:16–20 мин.;Волгоградский проспект:16–20 мин.;Текстильщики:21–30 мин.,Оригинал
"Infiniti FX35 3.5 AT, 2003, 250 000 км, с пробегом, цена 660 000 руб. - Автомобили в Москве",2003,I (2002—2006),250 000 км,24 записи в отчёте Автотеки,4+,Не битый,3.5 4WD AT (280 л.с.),3.5 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серебряный,Левый,JNRA*************,Не интересует,,24 записи с 2012 года,,10 владельцев по ПТС,1 запись с описанием работ,12 раз продавался на Авито,Кунцевская:до 5 мин.;Пионерская:21–30 мин.;Давыдково:21–30 мин.,Оригинал
